                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.445,                 5.5954,                 4.7953,                0.00011,                0.00214,                  6e-05,                  2e-05,                 5.5767,                 4.7844,                 4.1613,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 5.3689,                 5.0788,                 4.6682,                0.00021,                0.00214,                 0.0001,                  4e-05,                 5.5764,                 4.7951,                 4.1644,             0.00014854,             0.00014854,             0.00014854
                      3,                 5.2546,                 4.6161,                 4.3016,                0.00023,                0.00214,                0.00012,                  5e-05,                 5.5761,                  4.812,                 4.1691,             0.00022876,             0.00022876,             0.00022876
                      4,                 4.7406,                 3.7767,                 4.1931,                0.00024,                0.00214,                0.00012,                  4e-05,                 5.5763,                 4.8275,                 4.1745,             0.00030732,             0.00030732,             0.00030732
                      5,                 4.6121,                 3.4504,                 4.0725,                0.00023,                0.00214,                0.00012,                  3e-05,                 5.5778,                 4.8499,                 4.1856,             0.00038424,             0.00038424,             0.00038424
                      6,                 4.7203,                 3.2534,                 3.9116,                0.00024,                0.00214,                0.00012,                  3e-05,                 5.5806,                 4.8589,                 4.1953,              0.0004595,              0.0004595,              0.0004595
                      7,                 4.2818,                  3.056,                 3.8061,                0.00025,                0.00214,                0.00012,                  4e-05,                 5.5837,                 4.8612,                 4.2154,             0.00053311,             0.00053311,             0.00053311
                      8,                 3.7539,                  2.715,                  3.548,                0.00025,                0.00214,                0.00013,                  3e-05,                 5.5841,                  4.871,                 4.2339,             0.00060508,             0.00060508,             0.00060508
                      9,                 3.5837,                  2.346,                 3.1814,                0.00026,                0.00214,                0.00013,                  3e-05,                 5.5851,                 4.8909,                 4.2661,             0.00067539,             0.00067539,             0.00067539
                     10,                 3.1775,                 2.0782,                 2.8822,                0.00027,                0.00214,                0.00013,                  4e-05,                 5.5879,                 4.8771,                 4.2871,             0.00074405,             0.00074405,             0.00074405
                     11,                 3.3927,                 2.0168,                 2.6581,                0.00027,                0.00214,                0.00014,                  4e-05,                 5.5903,                  4.963,                 4.3018,             0.00081106,             0.00081106,             0.00081106
                     12,                  3.009,                 1.8116,                 2.5035,                0.00028,                0.00214,                0.00014,                  3e-05,                 5.5921,                 4.9662,                 4.3138,             0.00087642,             0.00087642,             0.00087642
                     13,                 2.9957,                  1.685,                  2.357,                0.00028,                0.00214,                0.00014,                  3e-05,                  5.594,                 4.9553,                  4.318,             0.00094013,             0.00094013,             0.00094013
                     14,                  2.987,                 1.7074,                 2.2731,                0.00026,                0.00214,                0.00013,                  3e-05,                 5.5918,                 4.9641,                 4.3243,              0.0010022,              0.0010022,              0.0010022
                     15,                 3.3875,                 1.8759,                 2.1713,                0.00029,                0.00214,                0.00015,                  3e-05,                 5.5878,                 4.9603,                 4.3301,              0.0010626,              0.0010626,              0.0010626
                     16,                  3.032,                 1.7718,                 2.0347,                0.00029,                0.00214,                0.00015,                  3e-05,                 5.5846,                 4.9273,                 4.3259,              0.0011214,              0.0011214,              0.0011214
                     17,                 2.7139,                 1.6086,                 2.0696,                 0.0003,                0.00214,                0.00015,                  3e-05,                 5.5815,                 4.8926,                 4.3214,              0.0011785,              0.0011785,              0.0011785
                     18,                 2.6309,                 1.6313,                  2.089,                 0.0003,                0.00214,                0.00015,                  3e-05,                 5.5826,                 4.8854,                 4.3201,              0.0012339,              0.0012339,              0.0012339
                     19,                 2.7993,                 1.6315,                 1.9848,                 0.0003,                0.00214,                0.00015,                  3e-05,                 5.5838,                 4.8802,                 4.3224,              0.0012877,              0.0012877,              0.0012877
                     20,                 2.5221,                 1.5232,                 1.8737,                0.00034,                0.00214,                0.00017,                  3e-05,                 5.5824,                 4.8867,                 4.3389,              0.0013399,              0.0013399,              0.0013399
